,_id,postal_code,price,source_loaded
0,5cb7cac567e0daed3a7ef4a9, M5T2V4,$119 ,Hotels.com
1,5cb7cac567e0daed3a7ef4aa, M5T2S3,$139 ,Hotels.com
2,5cb7cac567e0daed3a7ef4ab, M5T 1H5,$59 ,Hotels.com
3,5cb7cac567e0daed3a7ef4ac, M6J 2G4,$134 ,Hotels.com
4,5cb7cac567e0daed3a7ef4ad, M5T1E8,$69 ,Hotels.com
5,5cb7cacb67e0daed3a7ef4ae, M1H2Z1,$144 ,Hotels.com
6,5cb7cacb67e0daed3a7ef4af, M1H2Z1,$140 ,Hotels.com
7,5cb7cacb67e0daed3a7ef4b0, M1B3C6,$118 ,Hotels.com
8,5cb7cacb67e0daed3a7ef4b1, M1T-3G2,$154 ,Hotels.com
9,5cb7cacb67e0daed3a7ef4b2, Canada,$58 ,Hotels.com
10,5cb7cad067e0daed3a7ef4b3, M9C5K5,$169 ,Hotels.com
11,5cb7cad067e0daed3a7ef4b4, M9C 5K5,$149 ,Hotels.com
12,5cb7cad067e0daed3a7ef4b5, M9C 5K5,$124 ,Hotels.com
13,5cb7cad067e0daed3a7ef4b6, L4W4X2,$139 ,Hotels.com
14,5cb7cad067e0daed3a7ef4b7, L4W5R2,$139 ,Hotels.com
15,5cb7cad567e0daed3a7ef4b8, M9W 5E7,$146 ,Hotels.com
16,5cb7cad567e0daed3a7ef4b9, M9W5E8,$130 ,Hotels.com
17,5cb7cad567e0daed3a7ef4ba, M9W 5E8,$199 ,Hotels.com
18,5cb7cad567e0daed3a7ef4bb, M9W1J5,$129 ,Hotels.com
19,5cb7cad567e0daed3a7ef4bc, M9W1J5,$139 ,Hotels.com
20,5cb7cade67e0daed3a7ef4bd, M4P2L2,$119 ,Hotels.com
21,5cb7cade67e0daed3a7ef4be, M5R 2G3,$134 ,Hotels.com
22,5cb7cade67e0daed3a7ef4bf, M4W 0A4,$599 ,Hotels.com
23,5cb7cade67e0daed3a7ef4c0, M5R1C2,$699 ,Hotels.com
24,5cb7cade67e0daed3a7ef4c1, M4W1A7,$169 ,Hotels.com
25,5cb7cae467e0daed3a7ef4c2, M5V 2G3,$309 ,Hotels.com
26,5cb7cae467e0daed3a7ef4c3, M5V 1J9,$179 ,Hotels.com
27,5cb7cae467e0daed3a7ef4c4, M5V1H3,$306 ,Hotels.com
28,5cb7cae467e0daed3a7ef4c5, M5V3T4,$260 ,Hotels.com
29,5cb7cae467e0daed3a7ef4c6, M5V3P9,$199 ,Hotels.com
30,5cb7caeb67e0daed3a7ef4c7, M5B2G8,$149 ,Hotels.com
31,5cb7caeb67e0daed3a7ef4c8, M5B 1V8,$237 ,Hotels.com
32,5cb7caeb67e0daed3a7ef4c9, M5B2C1,$221 ,Hotels.com
33,5cb7caeb67e0daed3a7ef4ca, M5G 2L2,$209 ,Hotels.com
34,5cb7caeb67e0daed3a7ef4cb, M5C 1S2,$299 ,Hotels.com
35,5cb7caf067e0daed3a7ef4cc, M5C1N2,$199 ,Hotels.com
