fsa,postal_code,property_type,room_type,price,source_loaded
M4R ,M4R 1J7,Bed and breakfast,Private room,84.0,airbnb
M6K ,M6K 1L4,Apartment,Entire home/apt,300.0,airbnb
M4W ,M4W 2Z4,House,Entire home/apt,650.0,airbnb
M4J ,M4J 2Z4,Apartment,Entire home/apt,125.0,airbnb
M5T ,M5T 1J5,Apartment,Entire home/apt,113.0,airbnb
M5H ,M5H 4E9,Apartment,Entire home/apt,149.0,airbnb
M4Y ,M4Y 1V6,House,Private room,66.0,airbnb
M5A ,M5A 3E8,Townhouse,Private room,66.0,airbnb
M6R ,M6R 2L2,House,Entire home/apt,300.0,airbnb
M4W ,M4W 3G8,Apartment,Private room,80.0,airbnb
M3C ,M3C 3Z5,House,Private room,40.0,airbnb
M4Y ,M4Y 3B2,Loft,Entire home/apt,209.0,airbnb
M5V ,M5V 3S9,Condominium,Entire home/apt,225.0,airbnb
M6G ,M6G 1P3,Apartment,Entire home/apt,100.0,airbnb
M6H ,M6H 1B2,Apartment,Entire home/apt,66.0,airbnb
M4E ,M4E 3J7,Apartment,Entire home/apt,70.0,airbnb
M5A ,M5A 1Z8,Apartment,Entire home/apt,196.0,airbnb
M2K ,M2K 2J9,Apartment,Entire home/apt,121.0,airbnb
M5H ,M5H 3C6,House,Private room,200.0,airbnb
M6K ,M6K 1K1,House,Entire home/apt,249.0,airbnb
M5B ,M5B 1L4,Condominium,Private room,90.0,airbnb
M6C ,M6C 2M3,House,Entire home/apt,141.0,airbnb
M4L ,M4L 3L4,House,Private room,27.0,airbnb
M6M ,M6M 4K6,Apartment,Private room,55.0,airbnb
M5V ,M5V 1H6,House,Entire home/apt,189.0,airbnb
M5V ,M5V 2P2,Loft,Entire home/apt,165.0,airbnb
M6C ,M6C 1M2,Guest suite,Entire home/apt,108.0,airbnb
M6G ,M6G 2G2,House,Private room,75.0,airbnb
M6G ,M6G 3R9,Apartment,Entire home/apt,115.0,airbnb
M7A ,M7A 2A9,Apartment,Entire home/apt,70.0,airbnb
M3A ,M3A 1W7,House,Entire home/apt,200.0,airbnb
M5S ,M5S 1X6,Apartment,Entire home/apt,75.0,airbnb
M5A ,M5A 4M1,House,Private room,80.0,airbnb
M6J ,M6J 3L1,Apartment,Entire home/apt,208.0,airbnb
M6P ,M6P 2A1,Guest suite,Entire home/apt,78.0,airbnb
M6J ,M6J 2N2,House,Entire home/apt,225.0,airbnb
M3A ,M3A 1W7,Apartment,Entire home/apt,52.0,airbnb
M6H ,M6H 1P5,Loft,Entire home/apt,135.0,airbnb
M2N ,M2N 3H8,Apartment,Entire home/apt,67.0,airbnb
M6K ,M6K 2K9,Loft,Entire home/apt,139.0,airbnb
M5V ,M5V 2P4,Condominium,Shared room,66.0,airbnb
M6J ,M6J 2J8,House,Private room,55.0,airbnb
M6H ,M6H 1J9,House,Entire home/apt,295.0,airbnb
M6J ,M6J 2J8,House,Private room,55.0,airbnb
M5J ,M5J 2Y5,Condominium,Entire home/apt,220.0,airbnb
M6J ,M6J 3G7,House,Private room,70.0,airbnb
M5V ,M5V 3V2,Apartment,Entire home/apt,200.0,airbnb
M6H ,M6H 2P4,Apartment,Entire home/apt,90.0,airbnb
M6G ,M6G 1A6,Apartment,Entire home/apt,99.0,airbnb
M5T ,M5T 2N4,Bed and breakfast,Private room,42.0,airbnb
M4J ,M4J 1K2,House,Entire home/apt,250.0,airbnb
M5S ,M5S 3A6,Apartment,Entire home/apt,121.0,airbnb
M4E ,M4E 3J7,Apartment,Entire home/apt,119.0,airbnb
M6G ,M6G 2C8,House,Entire home/apt,350.0,airbnb
M5J ,M5J 0A7,Condominium,Entire home/apt,169.0,airbnb
M6J ,M6J 3S7,Condominium,Entire home/apt,130.0,airbnb
M4M ,M4M 2H9,House,Entire home/apt,115.0,airbnb
M6H ,M6H 1E4,Apartment,Entire home/apt,80.0,airbnb
M4L ,M4L 3M4,House,Private room,70.0,airbnb
M5A ,M5A 4M1,Guesthouse,Private room,60.0,airbnb
M5T ,M5T 3K8,Condominium,Entire home/apt,114.0,airbnb
M3A ,M3A 2R7,Condominium,Private room,50.0,airbnb
M6G ,M6G 3R9,Apartment,Private room,70.0,airbnb
M6G ,M6G 2N6,Apartment,Entire home/apt,75.0,airbnb
M4X ,M4X 1M4,Apartment,Private room,55.0,airbnb
M1N ,M1N 1M5,House,Private room,35.0,airbnb
M4L ,M4L 3L4,House,Private room,29.0,airbnb
M4L ,M4L 3L4,House,Private room,31.0,airbnb
M6N ,M6N 1J4,Parking Space,Shared room,100.0,airbnb
M6K ,M6K 1N2,Loft,Shared room,66.0,airbnb
M6R ,M6R 1A6,Apartment,Entire home/apt,95.0,airbnb
M5V ,M5V 3A4,Condominium,Entire home/apt,217.0,airbnb
M6K ,M6K 1B1,Apartment,Entire home/apt,66.0,airbnb
M6P ,M6P 1S7,House,Entire home/apt,121.0,airbnb
M5V ,M5V 4A2,Condominium,Entire home/apt,141.0,airbnb
M1E ,M1E 4C6,House,Entire home/apt,250.0,airbnb
M5T ,M5T 1Y7,Apartment,Entire home/apt,84.0,airbnb
M5A ,M5A 3E8,Apartment,Entire home/apt,50.0,airbnb
M5G ,M5G 2C3,Apartment,Entire home/apt,141.0,airbnb
M4E ,M4E 3J7,Apartment,Entire home/apt,58.0,airbnb
M5R ,M5R 1S3,House,Entire home/apt,98.0,airbnb
M4Y ,M4Y 2J3,Apartment,Entire home/apt,225.0,airbnb
M6P ,M6P 2H4,House,Entire home/apt,250.0,airbnb
M6G ,M6G 2Y3,House,Private room,35.0,airbnb
M4W ,M4W 2X8,House,Private room,64.0,airbnb
M5T ,M5T 1G4,Condominium,Private room,92.0,airbnb
M9M ,M9M 3B5,Townhouse,Private room,38.0,airbnb
M9M ,M9M 3B5,House,Private room,46.0,airbnb
M6P ,M6P 1X3,Loft,Entire home/apt,100.0,airbnb
M6R ,M6R 2S4,Apartment,Entire home/apt,230.0,airbnb
M6R ,M6R 2S4,House,Entire home/apt,325.0,airbnb
M5A ,M5A 4E6,Apartment,Entire home/apt,145.0,airbnb
M8V ,M8V 1M4,Townhouse,Private room,46.0,airbnb
M2K ,M2K 0A6,Apartment,Entire home/apt,169.0,airbnb
M5V ,M5V 1H6,House,Entire home/apt,189.0,airbnb
M8V ,M8V 1M4,Townhouse,Private room,42.0,airbnb
M6J ,M6J 2J8,House,Private room,52.0,airbnb
M6K ,M6K 3R2,Apartment,Entire home/apt,169.0,airbnb
M6R ,M6R 2K6,House,Entire home/apt,271.0,airbnb
M4G ,M4G 3Y9,Guest suite,Entire home/apt,98.0,airbnb
M5V ,M5V 4A3,Apartment,Entire home/apt,229.0,airbnb
M5V ,M5V 3Y2,Apartment,Entire home/apt,150.0,airbnb
M6H ,M6H 3Y9,Apartment,Entire home/apt,134.0,airbnb
M6R ,M6R 2S4,House,Entire home/apt,205.0,airbnb
